Era: Run2018A

+---------------------------+-------+------+-------+-------------------+------------------+
| hltpath                   | nfill | nrun | ncms  | totdelivered(/fb) | totrecorded(/fb) |
| HLT_Mu8_IP3_part5_v2  | 6     | 7    | 2083  | 0.061279902       | 0.059152202      |
| HLT_Mu9_IP5_part0_v2  | 10    | 16   | 7312  | 0.319506779       | 0.309931390      |
| HLT_Mu9_IP5_part1_v2  | 10    | 16   | 7312  | 0.319506779       | 0.309931390      |
| HLT_Mu9_IP5_part2_v2  | 10    | 16   | 7312  | 0.319506779       | 0.309931390      |
| HLT_Mu9_IP5_part3_v2  | 10    | 16   | 7312  | 0.319506779       | 0.309931390      |
| HLT_Mu9_IP5_part4_v2  | 10    | 16   | 7312  | 0.319506779       | 0.309931390      |
| HLT_Mu9_IP6_part0_v2  | 10    | 18   | 10104 | 0.399621081       | 0.383797628      |
| HLT_Mu9_IP6_part0_v3  | 11    | 20   | 9873  | 0.480720084       | 0.465470231      |
| HLT_Mu9_IP6_part1_v2  | 10    | 18   | 10104 | 0.399621081       | 0.383797628      |
| HLT_Mu9_IP6_part1_v3  | 11    | 20   | 9873  | 0.480720084       | 0.465470231      |
| HLT_Mu9_IP6_part2_v2  | 10    | 18   | 10104 | 0.399621081       | 0.383797628      |
| HLT_Mu9_IP6_part2_v3  | 11    | 20   | 9873  | 0.480720084       | 0.465470231      |
| HLT_Mu9_IP6_part3_v2  | 10    | 18   | 10104 | 0.399621081       | 0.383797628      |
| HLT_Mu9_IP6_part3_v3  | 11    | 20   | 9873  | 0.480720084       | 0.465470231      |
| HLT_Mu9_IP6_part4_v2  | 10    | 18   | 10104 | 0.399621081       | 0.383797628      |
| HLT_Mu9_IP6_part4_v3  | 11    | 20   | 9873  | 0.480720084       | 0.465470231      |
| HLT_Mu9_IP6_part5_v2  | 10    | 18   | 10104 | 0.399621081       | 0.383797628      |
+-----------------------+-------+------+-------+-------------------+------------------+
#Sum delivered : 10.612168289
#Sum recorded : 10.257860682

Era: 2018C

+-----------------------+-------+------+-------+-------------------+------------------+
| hltpath               | nfill | nrun | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-----------------------+-------+------+-------+-------------------+------------------+
| HLT_Mu12_IP6_part0_v2 | 20    | 59   | 22568 | 1.170604117       | 1.129439277      |
| HLT_Mu12_IP6_part1_v2 | 20    | 59   | 22568 | 1.170604117       | 1.129439277      |
| HLT_Mu12_IP6_part2_v2 | 20    | 59   | 22568 | 1.170604117       | 1.129439277      |
| HLT_Mu12_IP6_part3_v2 | 20    | 59   | 22568 | 1.170604117       | 1.129439277      |
| HLT_Mu12_IP6_part4_v2 | 20    | 59   | 22568 | 1.170604117       | 1.129439277      |
| HLT_Mu7_IP4_part0_v2  | 8     | 8    | 883   | 0.031491745       | 0.030120103      |
| HLT_Mu7_IP4_part1_v2  | 8     | 8    | 883   | 0.031491745       | 0.030120103      |
| HLT_Mu7_IP4_part2_v2  | 8     | 8    | 883   | 0.031491745       | 0.030120103      |
| HLT_Mu7_IP4_part3_v2  | 8     | 8    | 883   | 0.031491745       | 0.030120103      |
| HLT_Mu7_IP4_part4_v2  | 8     | 8    | 883   | 0.031491745       | 0.030120103      |
| HLT_Mu8_IP3_part0_v3  | 4     | 4    | 57    | 0.002373607       | 0.002017059      |
| HLT_Mu8_IP3_part1_v3  | 4     | 4    | 57    | 0.002373607       | 0.002017059      |
| HLT_Mu8_IP3_part2_v3  | 4     | 4    | 57    | 0.002373607       | 0.002017059      |
| HLT_Mu8_IP3_part3_v3  | 4     | 4    | 57    | 0.002373607       | 0.002017059      |
| HLT_Mu8_IP3_part4_v3  | 4     | 4    | 57    | 0.002373607       | 0.002017059      |
| HLT_Mu8_IP5_part0_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu8_IP5_part1_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu8_IP5_part2_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu8_IP5_part3_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu8_IP5_part4_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu8_IP6_part0_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu8_IP6_part1_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu8_IP6_part2_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu8_IP6_part3_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu8_IP6_part4_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu9_IP4_part0_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu9_IP4_part1_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu9_IP4_part2_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu9_IP4_part3_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu9_IP4_part4_v2  | 1     | 1    | 1     | 0.000309180       | 0.000051389      |
| HLT_Mu9_IP5_part0_v2  | 18    | 40   | 13642 | 0.575837460       | 0.558119967      |
| HLT_Mu9_IP5_part1_v2  | 18    | 40   | 13642 | 0.575837460       | 0.558119967      |
| HLT_Mu9_IP5_part2_v2  | 18    | 40   | 13642 | 0.575837460       | 0.558119967      |
| HLT_Mu9_IP5_part3_v2  | 18    | 40   | 13642 | 0.575837460       | 0.558119967      |
| HLT_Mu9_IP5_part4_v2  | 18    | 40   | 13642 | 0.575837460       | 0.558119967      |
| HLT_Mu9_IP6_part0_v3  | 19    | 48   | 17536 | 0.819563619       | 0.793932913      |
| HLT_Mu9_IP6_part1_v3  | 19    | 48   | 17536 | 0.819563619       | 0.793932913      |
| HLT_Mu9_IP6_part2_v3  | 19    | 48   | 17536 | 0.819563619       | 0.793932913      |
| HLT_Mu9_IP6_part3_v3  | 19    | 48   | 17536 | 0.819563619       | 0.793932913      |
| HLT_Mu9_IP6_part4_v3  | 19    | 48   | 17536 | 0.819563619       | 0.793932913      |
+-----------------------+-------+------+-------+-------------------+------------------+
#Sum delivered : 13.003990449
#Sum recorded : 12.568917424

Era: Run2018D

+------------------------+-------+------+--------+-------------------+------------------+
| hltpath                | nfill | nrun | ncms   | totdelivered(/fb) | totrecorded(/fb) |
+------------------------+-------+------+--------+-------------------+------------------+
| HLT_Mu12_IP6_ToCSCS_v1 | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu12_IP6_part0_v2  | 94    | 239  | 112454 | 5.623242929       | 5.408345459      |
| HLT_Mu12_IP6_part1_v2  | 94    | 239  | 112454 | 5.623242929       | 5.408345459      |
| HLT_Mu12_IP6_part2_v2  | 94    | 239  | 112454 | 5.623242929       | 5.408345459      |
| HLT_Mu12_IP6_part3_v2  | 94    | 239  | 112454 | 5.623242929       | 5.408345459      |
| HLT_Mu12_IP6_part4_v2  | 94    | 239  | 112454 | 5.623242929       | 5.408345459      |
| HLT_Mu7_IP4_ToCSCS_v1  | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu7_IP4_part0_v2   | 61    | 114  | 38580  | 1.347814045       | 1.301159531      |
| HLT_Mu7_IP4_part1_v2   | 61    | 114  | 38580  | 1.347814045       | 1.301159531      |
| HLT_Mu7_IP4_part2_v2   | 61    | 114  | 38580  | 1.347814045       | 1.301159531      |
| HLT_Mu7_IP4_part3_v2   | 61    | 114  | 38580  | 1.347814045       | 1.301159531      |
| HLT_Mu7_IP4_part4_v2   | 61    | 114  | 38580  | 1.347814045       | 1.301159531      |
| HLT_Mu8_IP3_ToCSCS_v1  | 7     | 8    | 24     | 0.005488771       | 0.002908237      |
| HLT_Mu8_IP3_part0_v3   | 22    | 30   | 4331   | 0.092356022       | 0.087366066      |
| HLT_Mu8_IP3_part1_v3   | 22    | 30   | 4331   | 0.092356022       | 0.087366066      |
| HLT_Mu8_IP3_part2_v3   | 22    | 30   | 4331   | 0.092356022       | 0.087366066      |
| HLT_Mu8_IP3_part3_v3   | 22    | 30   | 4331   | 0.092356022       | 0.087366066      |
| HLT_Mu8_IP3_part4_v3   | 22    | 30   | 4331   | 0.092356022       | 0.087366066      |
